"video_id","min_timecode","max_timecode","text.user","text.auto"
"UuqHGW1VFxA","00:00:00","00:00:04","WILL NOT DEFEND PRESIDENT TRUMP","fbi right now is making good on its promise to find and arrest people who"
"UuqHGW1VFxA","00:00:05","00:00:05","IN HIS SECOND IMPEACHMENT","were involved in"
"UuqHGW1VFxA","00:00:06","00:00:07","TRIAL.>>> THE FBI IS MAKING","the ride at the capitol last week"
"UuqHGW1VFxA","00:00:08","00:00:10","GOOD ON ITS PROMISE TO FIND AND","a man accused of throwing a fire extinguisher at police during"
"UuqHGW1VFxA","00:00:11","00:00:12","ARREST PEOPLE WHO WERE INVOLVED","the attacks is now in custody the justice"
"UuqHGW1VFxA","00:00:13","00:00:13","WEEK.","department"
"UuqHGW1VFxA","00:00:14","00:00:19","A MAN ACCUSED OF THROWING A","says robert sanford was arrested in pennsylvania he's been charged with four counts relating to the riots"
"UuqHGW1VFxA","00:00:19","00:00:25","","and a man photographed holding a confederate flag in the u.s capitol was also arrested the"
"UuqHGW1VFxA","00:00:26","00:00:26","FIRE EXTINGUISHER DURING THE","washington post says"
"UuqHGW1VFxA","00:00:26","00:00:27","ATTACKS IS IN CUSTODY.","kevin seaford"
"UuqHGW1VFxA","00:00:28","00:00:29","PENNSYLVANIA AND HAS BEEN","was taken into custody in delaware this"
"UuqHGW1VFxA","00:00:30","00:00:30","RELATING TO THE RIOTS.","morning"
"UuqHGW1VFxA","00:00:31","00:00:32","AND A MAN PHOTOGRAPHED HOLDING","and there is new video of a 61-year-old"
"UuqHGW1VFxA","00:00:33","00:00:34","CAPITOL WAS ALSO ARRESTED.","new hampshire man"
"UuqHGW1VFxA","00:00:35","00:00:35","THE WASHINGTON POST SAYS THAT","who was arrested inside"
"UuqHGW1VFxA","00:00:35","00:00:36","KEVIN SEIFERT WAS TAKEN INTO","the u.s capitol"
"UuqHGW1VFxA","00:00:36","00:00:38","MORNING.","building during the riot"
"UuqHGW1VFxA","00:00:38","00:00:40","AND THERE IS NEW VIDEO OF A 61-","wbz's christina haeger is"
"UuqHGW1VFxA","00:00:41","00:00:41","YEAR-OLD NEW HAMPSHIRE MAN WHO","live in concord now"
"UuqHGW1VFxA","00:00:42","00:00:44","WAS ARRESTED INSIDE THE U.S.","with more on that christina"
"UuqHGW1VFxA","00:00:44","00:00:45","RIOT.","lisa thomas"
"UuqHGW1VFxA","00:00:45","00:00:49","CHRISTINA HAGER IS LIVE IN","gallagher was calm and he was polite when he appeared"
"UuqHGW1VFxA","00:00:50","00:00:50","CONCORD WITH MORE ON THAT.>>","in a video conference"
"UuqHGW1VFxA","00:00:51","00:00:54","Reporter: THOMAS GALLAGHER WAS","before a federal judge here he's now facing charges of entering"
"UuqHGW1VFxA","00:00:54","00:00:55","CALM AND POLITE WHEN HE","and remaining"
"UuqHGW1VFxA","00:00:56","00:00:56","APPEARED IN A VIDEO CONFERENCE","in a restricted"
"UuqHGW1VFxA","00:00:57","00:00:59","BEFORE A FEDERAL JUDGE.","building also violent"
"UuqHGW1VFxA","00:01:00","00:01:03","HE IS NOW FACING CHARGES OF","entry and disorderly conduct in the capital"
"UuqHGW1VFxA","00:01:04","00:01:05","RESTRICTED BUILDING, ALSO","were you wrongly accused"
"UuqHGW1VFxA","00:01:06","00:01:09","VIOLENT ENTRY AND DISORDERLY","of what happened no comment quiet leaving court"
"UuqHGW1VFxA","00:01:09","00:01:10","CONDUCT AT THE CAPITOL.>> WHERE","thomas gallagher"
"UuqHGW1VFxA","00:01:11","00:01:11","YOU WRONGLY ACCUSED OF WHAT","facing"
"UuqHGW1VFxA","00:01:11","00:01:15","HAPPENED?","federal charges for his alleged part in the storming of the u.s"
"UuqHGW1VFxA","00:01:15","00:01:16",">> NO COMMENT.","capitol building in washington d.c"
"UuqHGW1VFxA","00:01:17","00:01:20",">> QUIET LEAVING COURT, THOMAS","last week good neighbors in his new hampshire neighborhood"
"UuqHGW1VFxA","00:01:20","00:01:21","GALLAGHER FACING FEDERAL","yeah definitely"
"UuqHGW1VFxA","00:01:21","00:01:22","CHARGES FOR HIS ALLEGED PART IN","a surprise to hear"
"UuqHGW1VFxA","00:01:23","00:01:23","THE STORMING OF THE U.S.","the news"
"UuqHGW1VFxA","00:01:23","00:01:26","CAPITOL BUILDING IN WASHINGTON","according to the criminal complaint capital police say"
"UuqHGW1VFxA","00:01:27","00:01:32","DC LAST WEEK.","gallagher was among those in a crowd making loud noises and kicking chairs throwing an unknown"
"UuqHGW1VFxA","00:01:32","00:02:51","","liquid substance at officers and spraying an unknown substance police say he was at the front of the mob and willfully refused the order to leave even if you left d.c the fbi pledging to track people down in this case all the way to the tiny picturesque town of bridgewater new hampshire agents from our local field offices will be knocking on your door if we find out that you are part of the criminal activity at the capitol when we knocked on gallagher's door no answer but the word had spread through the peaceful newfound lake region about its link to the violent chaos hundreds of miles away i think it's disgraceful that somebody believes trump and consequently thinks that that gives him empowerment to invade the capital it's a disgrace there was another hearing today at this same federal courthouse dealing with a different new hampshire suspect named ryder whitaker he's accused of calling members of congress and leaving messages allegedly leaving messages allegedly threatening to kill them in concord new hampshire christina hager wbz concord new hampshire christina hager wbz news christina thank you today"
