"video_id","min_timecode","max_timecode","text.user","text.auto"
"LQWJAhSfwwo","00:00:00","00:00:01","","tonight an inmate claims he"
"LQWJAhSfwwo","00:00:01","00:00:02","MIKAEL IS ACCUSED OF","snuck into r kelly's"
"LQWJAhSfwwo","00:00:02","00:00:04","MAINTAINING A PROSTITUTION RING","jail cell to attack the singer"
"LQWJAhSfwwo","00:00:04","00:00:07","","this is jeremiah farmer who claims he was forced"
"LQWJAhSfwwo","00:00:07","00:00:08","FOR ABOUT A YEAR IN ARIZONA.","to beat the"
"LQWJAhSfwwo","00:00:09","00:00:10","TONIGHT AND M-8 CLAIMS HE","grammy winner kelly was asleep in his cell"
"LQWJAhSfwwo","00:00:11","00:00:16","SUCKED INTO R. KELLY'S GEL CELL","at chicago's metropolitan correctional center last wednesday when he was attacked farmer in jail for racketeering"
"LQWJAhSfwwo","00:00:17","00:00:17","THIS IS JEREMIAH FARMER WHO","conspiracy"
"LQWJAhSfwwo","00:00:18","00:00:18","CLAIMS HE WAS FORCED TO BEAT","lays it"
"LQWJAhSfwwo","00:00:19","00:00:20","THE GRAMMY WINNER.","all out in this appeal to the 7th"
"LQWJAhSfwwo","00:00:21","00:00:22","CELL AT THE METROPOLITAN","circuit former writes he was"
"LQWJAhSfwwo","00:00:23","00:00:25","ATTACKED.","quote forced to assault hip-hop and r b singer"
"LQWJAhSfwwo","00:00:26","00:00:27","JEREMIAH FARMER , AND JAIL FOR","r kelly in hopes of getting"
"LQWJAhSfwwo","00:00:27","00:00:28","RACKETEERING, LASER OUT IN THIS","spotlight"
"LQWJAhSfwwo","00:00:28","00:00:32","APPEAL TO THE SEVENTH CIRCUIT.","attention and world news notice to shed light on the government corruption notice to shed light on the government corruption"
"LQWJAhSfwwo","00:00:33","00:00:33","HE WRITES, I WAS FORCED TO","end quote r"
"LQWJAhSfwwo","00:00:34","00:00:36","ASSAULT HIP-HOP AND R&B SINGER","kelly is behind bars facing dozens of sex abuse charges"
"LQWJAhSfwwo","00:00:36","00:00:39","R. KELLY IN HOPES OF GETTING","all of which he has denied kelly's attorneys"
"LQWJAhSfwwo","00:00:40","00:00:41","SPOTLIGHT ATTENTION AND SHED","have repeatedly asked for the singer's release"
"LQWJAhSfwwo","00:00:42","00:00:46","","while he awaits trial so far all those requests have been denied so far all those requests have been denied"
