"video_id","min_timecode","max_timecode","text.user","text.auto"
"wdQMkXH-TS8","00:00:00","00:00:01","","breaking news three children have"
"wdQMkXH-TS8","00:00:02","00:00:04",">> THREE CHILDREN HAVE BEE ","been discovered dead in a resida apartment their mother"
"wdQMkXH-TS8","00:00:02","00:00:05",">> THREE CHILDREN HAVE BEEN","is now"
"wdQMkXH-TS8","00:00:05","00:00:06",">> THREE CHILDREN HAVE BEEN DISCOVERED DEAD IN THEIR RESEDA","under arrest i'm veronica"
"wdQMkXH-TS8","00:00:07","00:00:07","DISCOVERED DEAD IN THEIR RESEDA APARTMENT, A M","miracle and i'm jory"
"wdQMkXH-TS8","00:00:08","00:00:10","ARREST. >> THIS IS EYEWITNESS NEWS AT","rand this is eyewitness news at four we begin with this"
"wdQMkXH-TS8","00:00:11","00:00:11",">> THIS IS EYEWITNESS NEWS AT 4:00","unthinkable"
"wdQMkXH-TS8","00:00:11","00:00:13",">> THIS IS EYEWITNESS NEWS AT 4:00, WE BEGIN WITH THIS","tragedy playing out in the san fernando valley let's"
"wdQMkXH-TS8","00:00:14","00:00:14","4:00, WE BEGIN WITH THIS UNTHINKABLE ","get right to"
"wdQMkXH-TS8","00:00:15","00:00:15","IN THE SAN FERNANDO VALLEY. LET'S GET TO A","amy powell live"
"wdQMkXH-TS8","00:00:16","00:00:20","IN THE SAN FERNANDO VALLEY. LET'S GET TO AMY POWELL LIVE IN","in racita with those breaking details amy jordan"
"wdQMkXH-TS8","00:00:21","00:00:21","LET'S GET TO AMY POWELL LIVE IN RESEDA WITH BREAKING DET","veronica just a very"
"wdQMkXH-TS8","00:00:22","00:00:24","RESEDA WITH BREAKING DETAILS. >> JUST A VERY SHOCKING CRIME.","shocking crime as you mentioned three small"
"wdQMkXH-TS8","00:00:25","00:00:25",">> JUST A VERY SHOCKING CRIME. THREE SMALL CHILDR","children"
"wdQMkXH-TS8","00:00:25","00:00:28",">> JUST A VERY SHOCKING CRIME. THREE SMALL CHILDREN BELIEVED TO","believed to be siblings all under the age of four"
"wdQMkXH-TS8","00:00:29","00:00:29","THREE SMALL CHILDREN BELIEVED TO BE S","found dead"
"wdQMkXH-TS8","00:00:29","00:00:30","THREE SMALL CHILDREN BELIEVED TO BE SIBLINGS, ALL UNDER THE AGE","and now their mother"
"wdQMkXH-TS8","00:00:31","00:00:31","BE SIBLINGS, ALL UNDER THE AGE OF FOU","is in custody"
"wdQMkXH-TS8","00:00:32","00:00:32","OF FOUR FOUND DEAD, NOW THEIR MOTHER IS IN CUS","the bodies"
"wdQMkXH-TS8","00:00:32","00:00:34","MOTHER IS IN CUSTODY. THE BODIES OF THOSE CHILDR","of those children found"
"wdQMkXH-TS8","00:00:35","00:00:35","THE BODIES OF THOSE CHILDREN FOUND TH","this morning around 9 30"
"wdQMkXH-TS8","00:00:36","00:00:37","THE BODIES OF THOSE CHILDREN FOUND THIS MORNING AROUND 9:30","after lapd officers were called to"
"wdQMkXH-TS8","00:00:38","00:00:38","FOUND THIS MORNING AROUND 9:30 AFTER LAPD OFFICERS WERE C","an apartment building"
"wdQMkXH-TS8","00:00:39","00:00:39","AFTER LAPD OFFICERS WERE CALLED TO AN APARTMEN","on the 8th"
"wdQMkXH-TS8","00:00:39","00:00:40","AFTER LAPD OFFICERS WERE CALLED TO AN APARTMENT BUILDING ON TH","thousand block of receda boulevard"
"wdQMkXH-TS8","00:00:39","00:00:41","AFTER LAPD OFFICERS WERE CALLED TO AN APARTMENT BUILDING ON THE","on the 8th thousand block of receda boulevard police say the"
"wdQMkXH-TS8","00:00:42","00:00:42","TO AN APARTMENT BUILDING ON THE 8000 BLOCK OF RESEDA BOULEVARD.","grandmother"
"wdQMkXH-TS8","00:00:43","00:00:43","8000 BLOCK OF RESEDA BOULEVARD. POLICE SAY T","of the children came home from"
"wdQMkXH-TS8","00:00:44","00:00:44","8000 BLOCK OF RESEDA BOULEVARD. POLICE SAY THE GRANDMOTHER OF","work and found them"
"wdQMkXH-TS8","00:00:45","00:00:45","POLICE SAY THE GRANDMOTHER OF THE CHILDREN CAME HOME FROM WORK","dead"
"wdQMkXH-TS8","00:00:46","00:00:46","THE CHILDREN CAME HOME FROM WORK AND FOUND THEM","in an apartment police"
"wdQMkXH-TS8","00:00:46","00:00:47","THE CHILDREN CAME HOME FROM WORK AND FOUND THEM DEAD IN AN","immediately began searching"
"wdQMkXH-TS8","00:00:48","00:00:49","APARTMENT. POLICE IMMEDIATELY BEGAN","for their mother 30-year-old"
"wdQMkXH-TS8","00:00:50","00:00:52","POLICE IMMEDIATELY BEGAN SEARCHING FOR THEIR MOTHER, THE","liliana carrillo who they say fled the scene"
"wdQMkXH-TS8","00:00:53","00:00:53","SEARCHING FOR THEIR MOTHER, THE 30TH-YEAR-OLD -- 30-YEAR-OLD","describing her as armed"
"wdQMkXH-TS8","00:00:54","00:00:55","30TH-YEAR-OLD -- 30-YEAR-OLD WHO'S A -- WHO THEY SAY FLED THE","and dangerous reports"
"wdQMkXH-TS8","00:00:56","00:00:56","SCENE. REPORTS CAME IN IN ","came in indicating that"
"wdQMkXH-TS8","00:00:56","00:00:59","SCENE. REPORTS CAME IN INDICATING THAT","carrillo committed a carjacking in the bakersfield area"
"wdQMkXH-TS8","00:01:00","00:01:00","REPORTS CAME IN INDICATING THAT SHE COMMITTED A CARJACKING IN","korea"
"wdQMkXH-TS8","00:01:01","00:01:01","SHE COMMITTED A CARJACKING IN THE BA","was located in the ponderosa"
"wdQMkXH-TS8","00:01:02","00:01:02","THE BAKERSFIELD AREA. SHE IS LOCATED IN THE PONDEROSA","area of tulare"
"wdQMkXH-TS8","00:01:03","00:01:05","SHE IS LOCATED IN THE PONDEROSA AREA AND WAS ARRESTE","county and arrested"
"wdQMkXH-TS8","00:01:06","00:01:09","AREA AND WAS ARRESTED. >> SHE DID A HORRIFIC CRIME,","she did a horrific crime here that she followed it up by another crime"
"wdQMkXH-TS8","00:01:10","00:01:10",">> SHE DID A HORRIFIC CRIME, THEN SHE FOLLOWED IT U","north"
"wdQMkXH-TS8","00:01:10","00:01:11",">> SHE DID A HORRIFIC CRIME, THEN SHE FOLLOWED IT UP BY","of here and"
"wdQMkXH-TS8","00:01:12","00:01:12","THEN SHE FOLLOWED IT UP BY ANOTHER CRIME NORTH ","it's those"
"wdQMkXH-TS8","00:01:12","00:01:13","THEN SHE FOLLOWED IT UP BY ANOTHER CRIME NORTH OF HERE AND","behaviors that ultimately"
"wdQMkXH-TS8","00:01:14","00:01:14","ANOTHER CRIME NORTH OF HERE AND IT'S THOSE BEHAVIORS THAT","got her caught"
"wdQMkXH-TS8","00:01:15","00:01:21","ULTIMATELY GOT HER CAUGHT. AMY: POLICE TELUS THEY ARE","and police tell us they are interviewing family members as they gather details about"
"wdQMkXH-TS8","00:01:22","00:01:22","AMY: POLICE TELUS THEY ARE INTERVIEWING FAMILY MEMBERS AS","what may have led up to"
"wdQMkXH-TS8","00:01:23","00:01:23","INTERVIEWING FAMILY MEMBERS AS THEY GATHER DETAILS ABOUT ","this horrific crime"
"wdQMkXH-TS8","00:01:24","00:01:24","THEY GATHER DETAILS ABOUT WHAT MAY HAVE LED UP TO THI","lapd"
"wdQMkXH-TS8","00:01:25","00:01:25","CRIME. LAPD CHIEF WAS HERE AT","chief michael"
"wdQMkXH-TS8","00:01:25","00:01:27","CRIME. LAPD CHIEF WAS HERE AT THE SCE","moore was here at the scene earlier again"
"wdQMkXH-TS8","00:01:27","00:01:28","LAPD CHIEF WAS HERE AT THE SCENE EARLIER.","a major investigation"
"wdQMkXH-TS8","00:01:29","00:01:29","EARLIER. A MAJOR INVESTIGATION ","underway here"
"wdQMkXH-TS8","00:01:29","00:01:32","EARLIER. A MAJOR INVESTIGATION UNDERWAY.","and detectives say that the mother of those dead children"
"wdQMkXH-TS8","00:01:33","00:01:33","DETECTIVES SAY THE MOTHER OF THOSE ","liliana"
"wdQMkXH-TS8","00:01:34","00:01:54","",""
"wdQMkXH-TS8","00:01:34","00:01:54","DETECTIVES SAY THE MOTHER OF THOSE DEAD","carrillo is the only suspect in this crime hello i'm mark brown get more great abc 7 content by clicking the subscribe button for our youtube channel and download the abc 7 los angeles streaming app on fire tv android tv apple tv and roku to watch on your tv"
