"video_id","min_timecode","max_timecode","text.user","text.auto"
"MChy9pF-1YU","00:00:00","00:00:01","starts now. Good evening and","one teacher with a hidden"
"MChy9pF-1YU","00:00:01","00:00:02","welcome tonight on Mark Wilson.","camera"
"MChy9pF-1YU","00:00:03","00:00:04","And I'm Kelly ring. Thanks for","and center sinister motives"
"MChy9pF-1YU","00:00:05","00:00:06","joining us, everybody one","betrayed the trust of trust of"
"MChy9pF-1YU","00:00:07","00:00:09","teacher with a hidden camera","125 students disgraced bloomingdale"
"MChy9pF-1YU","00:00:10","00:00:14","Betrayed the trust off 125","high school teacher mark hackett pleaded guilty today to secretly recording his students"
"MChy9pF-1YU","00:00:15","00:00:17","High School teacher Mark","undressing recording his students undressing and earlier tonight a judge"
"MChy9pF-1YU","00:00:17","00:00:18","Hackett pleaded guilty today to","sentenced deckett"
"MChy9pF-1YU","00:00:19","00:00:21","secretly recording his students","to 15 years in prison it was a very"
"MChy9pF-1YU","00:00:21","00:00:23","undressing and earlier tonight","emotional afternoon in the courtroom as"
"MChy9pF-1YU","00:00:24","00:00:25","a judge sentenced jacket to 15","the judge heard emotional testimony"
"MChy9pF-1YU","00:00:26","00:00:26","years in prison. It was a very","from some of"
"MChy9pF-1YU","00:00:27","00:00:29","emotional afternoon in the","the students that he betrayed fox 13's gloria gomez was"
"MChy9pF-1YU","00:00:30","00:00:30","emotional testimony from some","there"
"MChy9pF-1YU","00:00:33","00:00:34","betrayed. FOX 13's Gloria Gomez","with a hidden camera"
"MChy9pF-1YU","00:00:35","00:00:41","","and bad intentions disgrace high school teacher mark ackett is headed to prison god is powerful and i believe"
"MChy9pF-1YU","00:00:41","00:00:42","and bad intentions. Disgrace","in"
"MChy9pF-1YU","00:00:43","00:00:44","high school teacher Mark AC. It","forgiveness that"
"MChy9pF-1YU","00:00:45","00:00:49","powerful, and I believe in","being said i think he should get the maximum sentence so he can never prey on another girl again"
"MChy9pF-1YU","00:00:50","00:00:50","forgiveness. That being said. I","last month the bloomingdale"
"MChy9pF-1YU","00:00:51","00:00:52","think he should get the maximum","teacher pled guilty"
"MChy9pF-1YU","00:00:52","00:00:54","sentence so he can never prey","to secretly recording a student's pled guilty to secretly recording a student's"
"MChy9pF-1YU","00:00:54","00:00:55","on another girl again. Last","undressing"
"MChy9pF-1YU","00:00:55","00:00:57","month, the Bloomingdale teacher","how do you wish to plead"
"MChy9pF-1YU","00:00:59","00:01:01","undressing. How do you wish to","guilty your honor today those victims who were betrayed"
"MChy9pF-1YU","00:01:02","00:01:04","","by a teacher they trusted who were betrayed by a teacher they trusted spoke their truth"
"MChy9pF-1YU","00:01:05","00:01:05","clean. Guilty Your honor. Today","to"
"MChy9pF-1YU","00:01:06","00:01:08","those victims who were betrayed","mark william ackett i cannot understand how you managed"
"MChy9pF-1YU","00:01:08","00:01:10","by a teacher they trusted spoke","to get close to all"
"MChy9pF-1YU","00:01:11","00:01:11","there. Truth to Mark, will you?","of these young women and then violate"
"MChy9pF-1YU","00:01:11","00:01:14","Mac it I cannot understand how","us the way you did you not only broke our trust with"
"MChy9pF-1YU","00:01:14","00:01:15","you managed to get. Close to","you but our trust our"
"MChy9pF-1YU","00:01:16","00:01:16","all of these young women and","trust"
"MChy9pF-1YU","00:01:17","00:01:20","violate us the way you did. You","with any male authority in our lives and you were the chillest teacher i knew"
"MChy9pF-1YU","00:01:21","00:01:22","you, but our trust our trust","and now i look at you"
"MChy9pF-1YU","00:01:23","00:01:25","lives, and you're the cellist","in disgust you have caused me so"
"MChy9pF-1YU","00:01:25","00:01:29","each right now. Now I look at","much pain in the past two years of my life"
"MChy9pF-1YU","00:01:30","00:01:34","so much pain in the past two","i hope they feel the pain you have caused me and all the women the men involved"
"MChy9pF-1YU","00:01:36","00:01:38","me and all over the men","to this day i live with the fear"
"MChy9pF-1YU","00:01:38","00:01:42","","changing in dressing rooms is there will never be an answer to why someone feels they"
"MChy9pF-1YU","00:01:43","00:01:44","with the fear changing and","have the right to violate another person"
"MChy9pF-1YU","00:01:45","00:01:45","dressing rooms is there will","especially"
"MChy9pF-1YU","00:01:46","00:01:46","never be an answer to why","a child"
"MChy9pF-1YU","00:01:47","00:01:51","right to violate another","i hope you get help because you need help prosecutors say akit secretly recorded"
"MChy9pF-1YU","00:01:52","00:01:52","person. Especially a child. I","his students changing"
