"video_id","min_timecode","max_timecode","text.user","text.auto"
"eMSgeOcE7nI","00:00:00","00:00:04","","so far four men with georgia ties have been arrested for making threats and taking part"
"eMSgeOcE7nI","00:00:05","00:00:05","THAT COMING UP. >>> SO FAR FOUR","in the riot"
"eMSgeOcE7nI","00:00:06","00:00:06",">>> SO FAR FOUR MEN WITH","at the u.s capitol last week"
"eMSgeOcE7nI","00:00:07","00:00:07",">>> SO FAR FOUR MEN WITH GEORGIA TIES HAVE BEEN ARRESTED","today joe henke"
"eMSgeOcE7nI","00:00:08","00:00:08","FOR MAKING THREATS AND TAKING PART IN","learned one"
"eMSgeOcE7nI","00:00:09","00:00:09","FOR MAKING THREATS AND TAKING PART IN THE RIOT","of them has since"
"eMSgeOcE7nI","00:00:10","00:00:11","FOR MAKING THREATS AND TAKING PART IN THE RIOT AT THE U.S.","died the cause"
"eMSgeOcE7nI","00:00:12","00:00:12","CAPITOL LAST WEEK. TODAY JOE HENKE","of 53-year-old"
"eMSgeOcE7nI","00:00:13","00:00:13","TODAY JOE HENKE LEARNED ONE OF THEM HAS SINCE DIED.","christopher stanton"
"eMSgeOcE7nI","00:00:14","00:00:15","","george's death has not been released but"
"eMSgeOcE7nI","00:00:15","00:00:17",">>","federal court records show he was"
"eMSgeOcE7nI","00:00:18","00:00:18",">> THE","charged with"
"eMSgeOcE7nI","00:00:19","00:00:19",">> THE CAUSE","illegally entering the u.s"
"eMSgeOcE7nI","00:00:20","00:00:20","CHRISTOPHER STANTON GEORGE'S DEATH","capitol grounds last"
"eMSgeOcE7nI","00:00:21","00:00:21","DEATH HAS NOT BEEN RELEASED, BUT","week"
"eMSgeOcE7nI","00:00:22","00:00:22","DEATH HAS NOT BEEN RELEASED, BUT FEDERAL COURT RECORDS","federal court records placed"
"eMSgeOcE7nI","00:00:23","00:00:23","BUT FEDERAL COURT RECORDS SHOW HE WAS","christopher stanton georgia"
"eMSgeOcE7nI","00:00:24","00:00:24","HE WAS CHARGED WITH ILLEGALLY","of alfaretta"
"eMSgeOcE7nI","00:00:25","00:00:25","HE WAS CHARGED WITH ILLEGALLY ENTERING THE","amongst the crowd at the u.s"
"eMSgeOcE7nI","00:00:26","00:00:28","ENTERING THE U.S. CAPITOL GROUNDS LAST","capitol on january 6. he was charged with entering"
"eMSgeOcE7nI","00:00:29","00:00:30","GROUNDS LAST WEEK. CENTRAL COURT RECORDS","the capitol illegally and violating"
"eMSgeOcE7nI","00:00:31","00:00:31","CHRISTOPHER STANTON GEORGE OF","dc's district-wide"
"eMSgeOcE7nI","00:00:32","00:00:32","ALPHARETTA AMONG THE CROWD AT THE","curfew he"
"eMSgeOcE7nI","00:00:33","00:00:33","ALPHARETTA AMONG THE CROWD AT THE U.S. CAPITOL","was arrested but an"
"eMSgeOcE7nI","00:00:34","00:00:34","THE U.S. CAPITOL JANUARY 6th. HE WAS","alpharetta police"
"eMSgeOcE7nI","00:00:34","00:00:35","THE U.S. CAPITOL JANUARY 6th. HE WAS CHARGED WITH","report states georgia"
"eMSgeOcE7nI","00:00:36","00:00:37","THE U.S. CAPITOL JANUARY 6th. HE WAS CHARGED WITH ENTERING","died saturday at his home"
"eMSgeOcE7nI","00:00:38","00:00:38","HE WAS CHARGED WITH ENTERING THE CAPITOL","police took two rifles"
"eMSgeOcE7nI","00:00:39","00:00:39","THE CAPITOL ILLEGALLY AND","from the home"
"eMSgeOcE7nI","00:00:39","00:00:40","THE CAPITOL ILLEGALLY AND VIOLATING THE D.C.","and listed his death as"
"eMSgeOcE7nI","00:00:41","00:00:41","VIOLATING THE D.C. DISTRICTWIDE","under investigation and listed his death as under investigation"
"eMSgeOcE7nI","00:00:42","00:00:42","",""
