,channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
0,UANLOF MUSIC,UCtYkcye4qLtsfODz17_PHdg,Lapiz  Conciente - El Descanso Eterno,Lapiz  Conciente - El Descanso Eterno,uf-36RC6JHE,0,10,3208992,2020-08-13 12:01:17,1,es,asr,10,Music,True
1,Champions League on CBS Sports,UCET00YnetHT7tOpu12v8jxg,Atalanta vs. PSG | Champions League Quarterfinal Highlights | UCL on CBS Sports,Atalanta vs. PSG | Champions League Quarterfinal Highlights | UCL on CBS Sports,A3VYsISvUy4,0,17,767651,2020-08-13 12:01:17,2,,,17,Sports,True
2,Brawadis,UCvtRTOMP2TqYqu51xNrqAzg,I ASKED HER TO BE MY GIRLFRIEND...,I ASKED HER TO BE MY GIRLFRIEND...,3C66w5Z0ixs,0,22,3043172,2020-08-13 12:01:17,3,en,asr,22,People & Blogs,True
3,Brooklyn and Bailey,UC6QWhGQqf0YDYdRb0n6ojWw,Meet Matt (Date #4) | Brooklyn's 10 Dates in 10 Days,Meet Matt (Date #4) | Brooklyn's 10 Dates in 10 Days,uhZE84C5g0M,0,24,461596,2020-08-13 12:01:17,4,en,asr,24,Entertainment,True
4,Brooklyn and Bailey,UC6QWhGQqf0YDYdRb0n6ojWw,Meet Matt (Date #4) | Brooklyn's 10 Dates in 10 Days,Meet Matt (Date #4) | Brooklyn's 10 Dates in 10 Days,uhZE84C5g0M,0,24,461596,2020-08-13 12:01:17,4,en,standard,24,Entertainment,True
5,Tristan Jass,UCxEUEkp5y728nY57wg8z3dw,Biggest Trash Talker EVER Gets EXPOSED BAD! 1v1 Basketball In Arizona!,Biggest Trash Talker EVER Gets EXPOSED BAD! 1v1 Basketball In Arizona!,EDO8Z3O7lus,0,24,869551,2020-08-13 12:01:17,5,en,asr,24,Entertainment,True
6,Rubi Rose,UC3uClarxob3TNalNCqMg5jg,"Rubi Rose ""He In His Feelings"" (Official Music Video)","Rubi Rose ""He In His Feelings"" (Official Music Video)",JCkyKujZplk,0,10,223420,2020-08-13 12:01:17,6,en,asr,10,Music,True
7,NFL Films,UCY3NEq2LYrmdoGkevo9BH5A,A UNIQUE Start to Training Camp 2020! | Hard Knocks Los Angeles FULL Episode 1,A UNIQUE Start to Training Camp 2020! | Hard Knocks Los Angeles FULL Episode 1,wq5vHxY8kdU,0,17,123840,2020-08-13 12:01:17,7,en,asr,17,Sports,True
8,jacksepticeye,UCYzPXprvl5Y-Sf0g4vX-m6g,I left youtube for a month and THIS is what happened.,I left youtube for a month and THIS is what happened.,J78aPJ3VyNs,0,24,2815388,2020-08-13 12:01:17,8,en,asr,24,Entertainment,True
9,C-SPAN,UCb--64Gl51jIEVE-GLDAVTg,Joe Biden Introduces Sen. Kamala Harris (D-CA) As Running Mate,Joe Biden Introduces Sen. Kamala Harris (D-CA) As Running Mate,ymyY7jez0rM,0,25,166473,2020-08-13 12:01:17,9,en,asr,25,News & Politics,True
10,C-SPAN,UCb--64Gl51jIEVE-GLDAVTg,Joe Biden Introduces Sen. Kamala Harris (D-CA) As Running Mate,Joe Biden Introduces Sen. Kamala Harris (D-CA) As Running Mate,ymyY7jez0rM,0,25,166473,2020-08-13 12:01:17,9,en,standard,25,News & Politics,True
11,C-SPAN,UCb--64Gl51jIEVE-GLDAVTg,Joe Biden Introduces Sen. Kamala Harris (D-CA) As Running Mate,Joe Biden Introduces Sen. Kamala Harris (D-CA) As Running Mate,ymyY7jez0rM,0,25,166473,2020-08-13 12:01:17,9,en,standard,25,News & Politics,True
12,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends | Stories from the Outlands – “The Endorsement”,Apex Legends | Stories from the Outlands – “The Endorsement”,M9Pmf9AB4Mo,0,20,2940810,2020-08-13 12:01:17,10,da,standard,20,Gaming,True
13,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends | Stories from the Outlands – “The Endorsement”,Apex Legends | Stories from the Outlands – “The Endorsement”,M9Pmf9AB4Mo,0,20,2940810,2020-08-13 12:01:17,10,de-DE,standard,20,Gaming,True
