channelId,channelTitle,videoCategoryId,videoId,videoQueryTime,videoSearchCategoryId,videoTitle,videoTitleLoc,videoTrendingRank,videoViews,captionLang,captionType,assignable,id,videoCategory
UCDGmojLIoWpXok597xYo8cg,BillieEilishVEVO,10,RUQl6YcMalg,2020-11-13 10:00:08,0,Billie Eilish - Therefore I Am (Official Music Video),Billie Eilish - Therefore I Am (Official Music Video),1,11736198,en,asr,True,10,Music
UCDGmojLIoWpXok597xYo8cg,BillieEilishVEVO,10,RUQl6YcMalg,2020-11-13 10:00:08,0,Billie Eilish - Therefore I Am (Official Music Video),Billie Eilish - Therefore I Am (Official Music Video),1,11736198,en,standard,True,10,Music
UCqwxMqUcL-XC3D9-fTP93Mg,LIL UZI VERT,10,PmQsZNery80,2020-11-13 10:00:08,0,Future & Lil Uzi Vert - That's It [Official Music Video],Future & Lil Uzi Vert - That's It [Official Music Video],2,530693,en,asr,True,10,Music
UCtxdfwb9wfkoGocVUAJ-Bmg,Travis Scott,10,dIaDGfE0G2A,2020-11-13 10:00:08,0,A Travis Scott + Cactus Jack Experience - PS5: Unboxing Reimagined,A Travis Scott + Cactus Jack Experience - PS5: Unboxing Reimagined,3,975376,,,True,10,Music
UCruQg25yVBppUWjza8AlyZA,FOX 4 News - Dallas-Fort Worth,25,Q_TvbTdH32A,2020-11-13 10:00:08,0,Rapper Mo3 shot dead on Dallas highway,Rapper Mo3 shot dead on Dallas highway,4,1679473,en,asr,True,25,News & Politics
UCtTfSyci2urfwXXu_eRpNRA,LilNasXVEVO,10,9vMLTcftlyI,2020-11-13 10:00:08,0,Lil Nas X - HOLIDAY (Official Video),Lil Nas X - HOLIDAY (Official Video),5,841488,fr,asr,True,10,Music
UCenjunBhBhvKjfDAESnoppw,RodWave,10,nS-DLy8yt9s,2020-11-13 10:00:08,0,Rod Wave - All Week (Official Music Video),Rod Wave - All Week (Official Music Video),6,1762649,nl,asr,True,10,Music
UCqwxMqUcL-XC3D9-fTP93Mg,LIL UZI VERT,10,udukDC0LFFQ,2020-11-13 10:00:08,0,Future & Lil Uzi Vert - Stripes Like Burberry [Official Audio],Future & Lil Uzi Vert - Stripes Like Burberry [Official Audio],7,240529,nl,asr,True,10,Music
UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay,28,4I-p8vjQ95s,2020-11-13 10:00:08,0,"Trying to Catch a 1,000 MPH Baseball - Smarter Every Day 247","Trying to Catch a 1,000 MPH Baseball - Smarter Every Day 247",8,1576347,,,True,28,Science & Technology
UC_IpSl6O_-IRAA6fiNs05Gg,ABC,24,16_S_Mf2E0A,2020-11-13 10:00:08,0,Next Thursday at 8|7c on ABC - Grey's Anatomy,Next Thursday at 8|7c on ABC - Grey's Anatomy,9,261125,en,asr,True,24,Entertainment
UCTvgnaLSfM5nqrabqrRJXMg,LVE FAMILY,1,3MRQxyZZYcM,2020-11-13 10:00:08,0,TRYING ON OUTFITS WITH LOUIE,TRYING ON OUTFITS WITH LOUIE,10,206605,en,asr,True,1,Film & Animation
