channelId,channelTitle,videoCategoryId,videoId,videoQueryTime,videoSearchCategoryId,videoTitle,videoTitleLoc,videoTrendingRank,videoViews,captionLang,captionType,assignable,id,videoCategory
UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,20,HrY_eDbF0XQ,2021-01-13 20:30:05,0,"I Hid $100,000 On The Dream SMP!","I Hid $100,000 On The Dream SMP!",1,2389023,en,asr,True,20,Gaming
UCiWLfSweyRNmLpgEHekhoAg,ESPN,17,z81VQBtWnYU,2021-01-13 20:30:05,0,Stephen A. says Kyrie Irving should retire | First Take,Stephen A. says Kyrie Irving should retire | First Take,2,915896,en,asr,True,17,Sports
UCto7D1L-MiRoOziCXK9uT5Q,Let's Game It Out,20,rafnUWedZws,2021-01-13 20:30:05,0,I Built a Theme Park With a 99.9% Death Rate - Parkitect,I Built a Theme Park With a 99.9% Death Rate - Parkitect,3,667154,en,asr,True,20,Gaming
UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,20,ppkX8epoD9g,2021-01-13 20:30:05,0,A Bigger Badder Bowser - Super Mario 3D World + Bowser's Fury - Nintendo Switch,A Bigger Badder Bowser - Super Mario 3D World + Bowser's Fury - Nintendo Switch,4,4920860,,,True,20,Gaming
UCZWBGXa6kiaWo9-pE8CX6Dg,Dream Shorts,22,CHFqGegX0WM,2021-01-13 20:30:05,0,GeorgeNotFound In His Natural Habitat...,GeorgeNotFound In His Natural Habitat...,5,194442,en,asr,True,22,People & Blogs
UCFctpiB_Hnlk3ejWfHqSm6Q,The Official Pok?mon YouTube channel,20,l_ZHajviuAY,2021-01-13 20:30:05,0,25 Years of Memories | #Pokemon25,25 Years of Memories | #Pokemon25,6,399721,fr,asr,True,20,Gaming
UCLXzq85ijg2LwJWFrz4pkmw,Skip and Shannon: UNDISPUTED,17,-fz_IPrVFU4,2021-01-13 20:30:05,0,"James Harden officially wants out of Houston, he's not even pretending to try | NBA | UNDISPUTED","James Harden officially wants out of Houston, he's not even pretending to try | NBA | UNDISPUTED",7,493440,en,asr,True,17,Sports
UC47kJWRBD-NREBvmBg5kWeA,King Von,10,tBKYI3-3lMg,2021-01-13 20:30:05,0,King Von - Armed & Dangerous (Official Video),King Von - Armed & Dangerous (Official Video),8,5375340,en,asr,True,10,Music
UCzRWWsFjqHk1an4OnVPsl9g,ESPN College Football,17,JRYEF_y_t_U,2021-01-13 20:30:05,0,College Football Playoff National Championship Game Highlights: Alabama vs. Ohio State | ESPN,College Football Playoff National Championship Game Highlights: Alabama vs. Ohio State | ESPN,9,2046862,en,asr,True,17,Sports
UCeY0bbntWzzVIaj2z3QigXg,NBC News,25,rqJNZhlb730,2021-01-13 20:30:05,0,House Votes On Resolution To Remove Trump Via 25th Amendment | NBC News,House Votes On Resolution To Remove Trump Via 25th Amendment | NBC News,10,3218373,en,asr,True,25,News & Politics
