channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
Big Hit Labels,UC3IZKseVpdzPSBaWxBxundA,BTS (방탄소년단) 'Dynamite' Official Teaser,BTS (방탄소년단) 'Dynamite' Official Teaser,oxoWhyS9buA,0,10,32215660,2020-08-19 10:37:43,1,en,asr,10,Music,True
Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,Swimming Pool Stereotypes,Swimming Pool Stereotypes,MqePxS6iyvA,0,17,10101640,2020-08-19 10:37:43,2,en,asr,17,Sports,True
Pokimane,UChXKjLEzAB1K7EZQey7Fm1Q,my overdue apology.,my overdue apology.,NuExff4-ty4,0,22,1529635,2020-08-19 10:37:43,3,en,asr,22,People & Blogs,True
charli d'amelio,UCi3OE-aN09WOcN9d2stCvPg,Showing My Friends Our  New Collection | Charli D'Amelio,Showing My Friends Our  New Collection | Charli D'Amelio,jAQ6451SE8A,0,22,2672559,2020-08-19 10:37:43,4,en,asr,22,People & Blogs,True
OverSimplified,UCNIuvl7V8zACPpTmmNIqP2A,The Russian Revolution - OverSimplified (Part 2),The Russian Revolution - OverSimplified (Part 2),b1reY72ktEc,0,24,2491730,2020-08-19 10:37:43,5,en,asr,24,Entertainment,True
XXL,UCbg_UMjlHJg_19SZckaKajg,Polo G's 2020 XXL Freshman Freestyle,Polo G's 2020 XXL Freshman Freestyle,POMaMQ8wgyk,0,10,1344223,2020-08-19 10:37:43,6,en,asr,10,Music,True
ZIAS!,UCwKTAvM2mY5-A4dFY4xCgqw,Polo G - Martin & Gina (Official Video)- REACTION w/ Polo G,Polo G - Martin & Gina (Official Video)- REACTION w/ Polo G,lkBI8fNStMM,0,24,1039301,2020-08-19 10:37:43,7,en,asr,24,Entertainment,True
2020 Democratic National Convention,UC8ZLJkQZMENy8CoS8zYczBA,Democratic National Convention: Day 2,Democratic National Convention: Day 2,oLANayJXv4I,0,25,352931,2020-08-19 10:37:43,8,en,asr,25,News & Politics,True
2020 Democratic National Convention,UC8ZLJkQZMENy8CoS8zYczBA,Democratic National Convention: Day 2,Democratic National Convention: Day 2,oLANayJXv4I,0,25,352931,2020-08-19 10:37:43,8,en,standard,25,News & Politics,True
2020 Democratic National Convention,UC8ZLJkQZMENy8CoS8zYczBA,Democratic National Convention: Day 2,Democratic National Convention: Day 2,oLANayJXv4I,0,25,352931,2020-08-19 10:37:43,8,en,standard,25,News & Politics,True
