channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
David Dobrik Too,UCef29bYGgUSoJjVkqhcAPkw,Live in the Moment - Dispo by David Dobrik,Live in the Moment - Dispo by David Dobrik,o8q3O0f-7zA,0,22,1674339,2021-03-02 12:13:36,1,en,asr,22,People & Blogs,True
CBS,UClzCn8DxRSCuMFv_WfzkcrQ,"Oprah With Meghan And Harry First Look | ""Almost Unsurvivable""","Oprah With Meghan And Harry First Look | ""Almost Unsurvivable""",y7LJrh5UTr4,0,24,3050786,2021-03-02 12:13:36,2,en,asr,24,Entertainment,True
DAZN Boxing,UCurvRE5fGcdUgCYWgh-BDsg,HIGHLIGHTS | Canelo Alvarez vs. Avni Yildirim,HIGHLIGHTS | Canelo Alvarez vs. Avni Yildirim,Fbr55An8VPI,0,17,4448948,2021-03-02 12:13:36,3,en,asr,17,Sports,True
ZHC,UClQubH2NeMmGLTLgNdLBwXg,"I Customized A Nintendo Switch In 10 Hours, 1 Hour, 10 Minutes, 1 Minute & 10 Seconds!","I Customized A Nintendo Switch In 10 Hours, 1 Hour, 10 Minutes, 1 Minute & 10 Seconds!",28RxpkcVAFw,0,24,3168615,2021-03-02 12:13:36,4,en,asr,24,Entertainment,True
NBC,UCccjdJEay2hpb5scz61zY6Q,Amy Poehler and Tina Fey's Opening Monologue - 2021 Golden Globes,Amy Poehler and Tina Fey's Opening Monologue - 2021 Golden Globes,cOzOXMfG3GQ,0,24,784204,2021-03-02 12:13:36,5,en,asr,24,Entertainment,True
CrankGameplays,UC2S7CGceq5tsuhcVyACdA3g,I'm Back... and I Have Something to Tell You,I'm Back... and I Have Something to Tell You,FGCPL_0YOYg,0,24,502499,2021-03-02 12:13:36,6,en,asr,24,Entertainment,True
Jack Harlow,UC6vZl7Qj7JglLDmN_7Or-ZQ,Jack Harlow - Route 66 feat. EST Gee [Official Video],Jack Harlow - Route 66 feat. EST Gee [Official Video],imNWC5Eq9OA,0,10,331134,2021-03-02 12:13:36,7,en,asr,10,Music,True
Technoblade,UCFAiFyGs6oDiF1Nf-rRJpZA,The Main Character of Dream SMP,The Main Character of Dream SMP,QKpWvPEZ5bo,0,20,3053514,2021-03-02 12:13:36,8,en,asr,20,Gaming,True
CBS,UClzCn8DxRSCuMFv_WfzkcrQ,"Oprah With Meghan And Harry First Look | ""It Has Been Unbelievably Tough""","Oprah With Meghan And Harry First Look | ""It Has Been Unbelievably Tough""",MhbRw04ZBx8,0,24,1780525,2021-03-02 12:13:36,9,en,asr,24,Entertainment,True
KQ ENTERTAINMENT,UCQdq-lqPEq_yZ_wP_kuVB9Q,ATEEZ(에이티즈) - ‘불놀이야 (I'm The One)’ Official MV,ATEEZ(에이티즈) - ‘불놀이야 (I'm The One)’ Official MV,xtcVwuauVV0,0,10,8696385,2021-03-02 12:13:36,10,en,standard,10,Music,True
