,channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
0,DrakeVEVO,UCQznUf1SjfDqx65hX3zRDiA,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,JFm7YDVlqnI,0,10,3535699,2020-08-14 10:40:40,1,en,asr,10,Music,True
1,DrakeVEVO,UCQznUf1SjfDqx65hX3zRDiA,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,JFm7YDVlqnI,0,10,3535699,2020-08-14 10:40:40,1,en,standard,10,Music,True
2,MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,I Bought A Private Island,I Bought A Private Island,FbM1yi4mMMc,0,24,16285874,2020-08-14 10:40:40,2,en,asr,24,Entertainment,True
3,YoungBoy Never Broke Again,UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again - Kacey talk,YoungBoy Never Broke Again - Kacey talk,0C80BSgjb8M,0,10,2535129,2020-08-14 10:40:40,3,ru,asr,10,Music,True
4,PoloGVEVO,UCojuFn_hfMyScH5hSHTBADQ,Polo G - Martin & Gina (Official Video),Polo G - Martin & Gina (Official Video),YNyFAro1E5M,0,10,1717368,2020-08-14 10:40:40,4,en,asr,10,Music,True
5,Fortnite,UClG8odDC8TS6Zpqk9CGVQiQ,Nineteen Eighty-Fortnite - #FreeFortnite,Nineteen Eighty-Fortnite - #FreeFortnite,euiSHuaw6Q4,0,20,2245306,2020-08-14 10:40:40,5,,,20,Gaming,True
6,XXL,UCbg_UMjlHJg_19SZckaKajg,2020 XXL Freshmen Read Mean Comments,2020 XXL Freshmen Read Mean Comments,IcqFcBmkSoQ,0,10,648735,2020-08-14 10:40:40,6,en,asr,10,Music,True
7,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,The Devil All The Time starring Tom Holland & Robert Pattinson | Official Trailer | Netflix,The Devil All The Time starring Tom Holland & Robert Pattinson | Official Trailer | Netflix,EIzazUv2gtI,0,24,5561785,2020-08-14 10:40:40,7,en,asr,24,Entertainment,True
8,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,The Devil All The Time starring Tom Holland & Robert Pattinson | Official Trailer | Netflix,The Devil All The Time starring Tom Holland & Robert Pattinson | Official Trailer | Netflix,EIzazUv2gtI,0,24,5561785,2020-08-14 10:40:40,7,en-US,standard,24,Entertainment,True
9,The Film Theorists,UC3sznuotAs2ohg_U__Jzj_Q,Film Theory: Rick is a Morty CONFIRMED! (Rick and Morty),Film Theory: Rick is a Morty CONFIRMED! (Rick and Morty),L2O-ZLKLhiw,0,1,2087050,2020-08-14 10:40:40,8,en,asr,1,Film & Animation,True
10,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,SuperM 슈퍼엠 ‘100' MV,SuperM 슈퍼엠 ‘100' MV,nyzhtvtJWDQ,0,10,4006124,2020-08-14 10:40:40,9,es,standard,10,Music,True
11,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,SuperM 슈퍼엠 ‘100' MV,SuperM 슈퍼엠 ‘100' MV,nyzhtvtJWDQ,0,10,4006124,2020-08-14 10:40:40,9,id,standard,10,Music,True
12,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,SuperM 슈퍼엠 ‘100' MV,SuperM 슈퍼엠 ‘100' MV,nyzhtvtJWDQ,0,10,4006124,2020-08-14 10:40:40,9,ja,standard,10,Music,True
13,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,SuperM 슈퍼엠 ‘100' MV,SuperM 슈퍼엠 ‘100' MV,nyzhtvtJWDQ,0,10,4006124,2020-08-14 10:40:40,9,th,standard,10,Music,True
14,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,SuperM 슈퍼엠 ‘100' MV,SuperM 슈퍼엠 ‘100' MV,nyzhtvtJWDQ,0,10,4006124,2020-08-14 10:40:40,9,vi,standard,10,Music,True
15,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,SuperM 슈퍼엠 ‘100' MV,SuperM 슈퍼엠 ‘100' MV,nyzhtvtJWDQ,0,10,4006124,2020-08-14 10:40:40,9,zh-Hans,standard,10,Music,True
