channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
RodWave,UCenjunBhBhvKjfDAESnoppw,Rod Wave - Stone Rolling (Official Video),Rod Wave - Stone Rolling (Official Video),LTWyzNUPbGQ,0,10,1493288.0,2022-07-28 12:05:34,1,en,asr,10,Music,True
TUDN México,UCTIyEyDNHPrwVFPhpi5dm0A,Resumen y goles | Real Madrid 2-2 América | Amistoso Internacional | TUDN,Resumen y goles | Real Madrid 2-2 América | Amistoso Internacional | TUDN,unMeUDAcMIw,0,17,2032558.0,2022-07-28 12:05:34,2,es,asr,17,Sports,True
The Pivot Podcast,UCUnxiP7q4RDDyeioZFZLnXA,"Kevin Hart on Sacrifice, Success & Never Allowing Mistakes to Overshadow Purpose | The Pivot Podcast","Kevin Hart on Sacrifice, Success & Never Allowing Mistakes to Overshadow Purpose | The Pivot Podcast",_alcE8PfzbI,0,17,987700.0,2022-07-28 12:05:34,3,en,asr,17,Sports,True
Clash of Clans,UCD1Em4q90ZUK2R5HKesszJg,CLASHIVERSARY is Almost Here! RIP Barbarian? 🙏,CLASHIVERSARY is Almost Here! RIP Barbarian? 🙏,8C_ibG489oE,0,20,13900969.0,2022-07-28 12:05:34,4,,,20,Gaming,True
YoungBoy Never Broke Again,UClW4jraMKz6Qj69lJf-tODA,NBA Youngboy - She Want Chanel,NBA Youngboy - She Want Chanel,hmiCuS_lAHA,0,10,2050342.0,2022-07-28 12:05:34,5,en,asr,10,Music,True
Kara and Nate,UC4ijq8Cg-8zQKx8OH12dUSw,Our 101st Country (FINALLY),Our 101st Country (FINALLY),Tj7LlrSW2-s,0,19,455910.0,2022-07-28 12:05:34,6,en,asr,19,Travel & Events,True
Brent Rivera,UC56D-IHcUvLVFTX_8NpQMXg,"I SURVIVED $50 VS $500,000 Vacation!","I SURVIVED $50 VS $500,000 Vacation!",ulfk94438aI,0,24,3524805.0,2022-07-28 12:05:34,7,en,asr,24,Entertainment,True
Wendover Productions,UC9RM-iSvTu1uPJb8X5yp3EQ,Europe’s Experiment: Treating Trains Like Planes,Europe’s Experiment: Treating Trains Like Planes,U9jirFqex6g,0,27,547714.0,2022-07-28 12:05:34,8,en,asr,27,Education,True
Wendover Productions,UC9RM-iSvTu1uPJb8X5yp3EQ,Europe’s Experiment: Treating Trains Like Planes,Europe’s Experiment: Treating Trains Like Planes,U9jirFqex6g,0,27,547714.0,2022-07-28 12:05:34,8,en-US,standard,27,Education,True
Lyrical Lemonade,UCtylTUUVIGY_i5afsQYeBZA,Nardo Wick - Burning Up ft. The Kid LAROI (Directed by Cole Bennett),Nardo Wick - Burning Up ft. The Kid LAROI (Directed by Cole Bennett),oGnVAeXLROA,0,24,976193.0,2022-07-28 12:05:34,9,en,asr,24,Entertainment,True
Macro,UCs3uTN9G4MnZGOfYWoSs9mA,MULTIVERSUS ... For Noobs,MULTIVERSUS ... For Noobs,8y2he1-1XLk,0,20,247231.0,2022-07-28 12:05:34,10,en,asr,20,Gaming,True
영국남자 Korean Englishman,UCg-p3lQIqmhh7gHpyaOmOiQ,Pack your bags boys! You're going to KOREA!!!,Pack your bags boys! You're going to KOREA!!!,jejLBWMsyHk,0,23,2882975.0,2022-07-28 12:05:34,11,en,asr,23,Comedy,True
The Tonight Show Starring Jimmy Fallon,UC8-Th83bH_thdKZDJCrn88g,Joseph Quinn Performs Eddie Munson's Stranger Things Monologue Using Different Accents (Extended),Joseph Quinn Performs Eddie Munson's Stranger Things Monologue Using Different Accents (Extended),uookwKDmtzU,0,23,2999893.0,2022-07-28 12:05:34,12,en,asr,23,Comedy,True
The Tonight Show Starring Jimmy Fallon,UC8-Th83bH_thdKZDJCrn88g,Joseph Quinn Performs Eddie Munson's Stranger Things Monologue Using Different Accents (Extended),Joseph Quinn Performs Eddie Munson's Stranger Things Monologue Using Different Accents (Extended),uookwKDmtzU,0,23,2999893.0,2022-07-28 12:05:34,12,en,standard,23,Comedy,True
Kurzgesagt – In a Nutshell,UCsXVk37bltHxD1rDPwtNM8Q,The Deadliest Virus on Earth,The Deadliest Virus on Earth,4u5I8GYB79Y,0,27,3891260.0,2022-07-28 12:05:34,13,en,asr,27,Education,True
Kurzgesagt – In a Nutshell,UCsXVk37bltHxD1rDPwtNM8Q,The Deadliest Virus on Earth,The Deadliest Virus on Earth,4u5I8GYB79Y,0,27,3891260.0,2022-07-28 12:05:34,13,en,standard,27,Education,True
Kurzgesagt – In a Nutshell,UCsXVk37bltHxD1rDPwtNM8Q,The Deadliest Virus on Earth,The Deadliest Virus on Earth,4u5I8GYB79Y,0,27,3891260.0,2022-07-28 12:05:34,13,tr,standard,27,Education,True
Duke Dennis,UCO_RC-EuZVTkxm5e8ek1zvA,Parkour At The AMP HOUSE,Parkour At The AMP HOUSE,eIUYA87XkN8,0,24,550754.0,2022-07-28 12:05:34,14,en,asr,24,Entertainment,True
