channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
ZHC,UClQubH2NeMmGLTLgNdLBwXg,I Customized A Hospital & Paid People's Medical Bills,I Customized A Hospital & Paid People's Medical Bills,SKY0E4Mh5O4,0,24,4722503,2021-08-30 12:09:27,1,en,asr,24,Entertainment,True
WhistlinDiesel,UCdqp0KK_Io7TwK5cJMBvB0Q,Introducing Monstermax 2. The Worlds Largest Truck (Twin Engine Duramax),Introducing Monstermax 2. The Worlds Largest Truck (Twin Engine Duramax),lFTww02HDrg,0,22,2823009,2021-08-30 12:09:27,2,en,asr,22,People & Blogs,True
Good Morning America,UCH1oRy1dINbMVp3UFWrKP0w,Major Hurricane Ida explosively intensifies overnight | GMA,Major Hurricane Ida explosively intensifies overnight | GMA,DcNm58_Mpek,0,24,504402,2021-08-30 12:09:27,3,en,asr,24,Entertainment,True
DanTDM,UCS5Oz6CHmeoF7vSad0qqXfw,we lost.,we lost.,pE98m7-mgMA,0,24,1191809,2021-08-30 12:09:27,4,en,asr,24,Entertainment,True
Technoblade,UCFAiFyGs6oDiF1Nf-rRJpZA,where I've been,where I've been,g9_aYyEDMD0,0,20,8166232,2021-08-30 12:09:27,5,en,asr,20,Gaming,True
The Food Theorists,UCHYoe8kQ-7Gn9ASOlmI0k6Q,"Food Theory: Don't Order These Chicken Sandwiches! (McDonalds, KFC, and …)","Food Theory: Don't Order These Chicken Sandwiches! (McDonalds, KFC, and …)",62mGOYRbTDA,0,26,1012587,2021-08-30 12:09:27,6,en,asr,26,Howto & Style,True
Tyron Woodley,UC1EbVHnoAFnbcbNwO_5K4Pw,Tyron Woodley Vs Jake Paul Champ Camp Ep.4,Tyron Woodley Vs Jake Paul Champ Camp Ep.4,hMAkgDonOBY,0,17,441132,2021-08-30 12:09:27,7,en,asr,17,Sports,True
WPLG Local 10,UCgVZ0mrM3liHNhRYC5Mchgg,Southern Louisiana braces for impact from Hurricane Ida,Southern Louisiana braces for impact from Hurricane Ida,sMSjtEvdJIg,0,25,382859,2021-08-30 12:09:27,8,en,standard,25,News & Politics,True
WPLG Local 10,UCgVZ0mrM3liHNhRYC5Mchgg,Southern Louisiana braces for impact from Hurricane Ida,Southern Louisiana braces for impact from Hurricane Ida,sMSjtEvdJIg,0,25,382859,2021-08-30 12:09:27,8,en,standard,25,News & Politics,True
WPLG Local 10,UCgVZ0mrM3liHNhRYC5Mchgg,Southern Louisiana braces for impact from Hurricane Ida,Southern Louisiana braces for impact from Hurricane Ida,sMSjtEvdJIg,0,25,382859,2021-08-30 12:09:27,8,en,standard,25,News & Politics,True
ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,Urgent evacuations underway in Louisiana,Urgent evacuations underway in Louisiana,ynZLW670M6M,0,25,1658240,2021-08-30 12:09:27,9,en,asr,25,News & Politics,True
SHOWTIME Sports,UCFPoJNd0d4k1H9A6UOlikcg,Jake Paul & Tyron Woodley MVP Face 2 Face Interview with Ariel Helwani | SHOWTIME PPV,Jake Paul & Tyron Woodley MVP Face 2 Face Interview with Ariel Helwani | SHOWTIME PPV,ZX1xtqAQ_8M,0,17,3531184,2021-08-30 12:09:27,10,,,17,Sports,True
Eamon & Bec,UC4laAHbk8VSgmvB47tsd2XQ,This is the End,This is the End,Jm9_Iy_a-LE,0,19,322912,2021-08-30 12:09:27,11,en,asr,19,Travel & Events,True
Kanye West - Topic,UCRY5dYsbIN5TylSbd7gVnZg,Jail,Jail,EQqtHTL2GvA,0,10,1283636,2021-08-30 12:09:27,12,en,asr,10,Music,True
Meek Mill,UC9HlWVtENbiMQzVRmnbJxtw,Meek Mill - Sharing Locations feat. Lil Baby & Lil Durk [Official Video],Meek Mill - Sharing Locations feat. Lil Baby & Lil Durk [Official Video],XCyIcifbOWE,0,10,3206564,2021-08-30 12:09:27,13,en,asr,10,Music,True
NASCAR,UCuN9hYw2RpoAW8rZ3VK3isA,Wild Finish with playoff implications | Daytona International Speedway | Extended Highlights,Wild Finish with playoff implications | Daytona International Speedway | Extended Highlights,DEyuhOnMM04,0,17,174610,2021-08-30 12:09:27,14,en,asr,17,Sports,True
The Game Theorists,UCo_IB5145EVNcf8hw1Kku7w,Game Theory: The Dirty Secrets of PowerWash Simulator,Game Theory: The Dirty Secrets of PowerWash Simulator,XsEYtaL241c,0,20,1907164,2021-08-30 12:09:27,15,en,asr,20,Gaming,True
The Canadian Lad,UCRI00CwLZdLRCWg5BdDOsNw,I Watched Spider-Man: No Way Home Trailer in 0.25x Speed and Here's What I Found (Part 2),I Watched Spider-Man: No Way Home Trailer in 0.25x Speed and Here's What I Found (Part 2),JnsrMryhULM,0,22,973331,2021-08-30 12:09:27,16,en,asr,22,People & Blogs,True
FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,Qualifying Highlights | 2021 Belgian Grand Prix,Qualifying Highlights | 2021 Belgian Grand Prix,E_CvS-dN99Y,0,17,3968047,2021-08-30 12:09:27,17,en,asr,17,Sports,True
FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,Qualifying Highlights | 2021 Belgian Grand Prix,Qualifying Highlights | 2021 Belgian Grand Prix,E_CvS-dN99Y,0,17,3968047,2021-08-30 12:09:27,17,en,standard,17,Sports,True
FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,Qualifying Highlights | 2021 Belgian Grand Prix,Qualifying Highlights | 2021 Belgian Grand Prix,E_CvS-dN99Y,0,17,3968047,2021-08-30 12:09:27,17,pt,standard,17,Sports,True
HyperGamez YT,UCjBFH3Ba20A8MTC23kmtImA,"Minecraft But, I Can’t Touch The Color White…","Minecraft But, I Can’t Touch The Color White…",rhdRwT6Rcoo,0,22,648242,2021-08-30 12:09:27,18,en,asr,22,People & Blogs,True
Alan Becker,UCbKWv2x9t6u8yZoB3KcPtnw,The Ultimate Weapon - Animation vs. Minecraft Shorts Ep 25,The Ultimate Weapon - Animation vs. Minecraft Shorts Ep 25,8kiPjEeTaW4,0,1,5713966,2021-08-30 12:09:27,19,en,asr,1,Film & Animation,True
Vikkstar123,UCvwgF_0NOZe2vN4Q3g1bY-A,I BOUGHT MY DREAM HOUSE!,I BOUGHT MY DREAM HOUSE!,V4Y5_GmCfnE,0,20,2318585,2021-08-30 12:09:27,20,en,asr,20,Gaming,True
SockStudios,UCXMwCQVey4PhdWFJ6WhAVhA,Embarrassing Childhood Stories,Embarrassing Childhood Stories,yACKsCRqD1k,0,22,573892,2021-08-30 12:09:27,21,en,asr,22,People & Blogs,True
BabyKeemVEVO,UCqaUJbZFIxkexcqI4J5eJUg,"Baby Keem, Kendrick Lamar - family ties (Official Video)","Baby Keem, Kendrick Lamar - family ties (Official Video)",v6HBZC9pZHQ,0,10,5647504,2021-08-30 12:09:27,22,id,asr,10,Music,True
PrestonPlayz,UCJZam2u1G0syq3kyqrCXrNw,Minecraft but You Can't Touch Stone...,Minecraft but You Can't Touch Stone...,nQNlQu2iWjA,0,20,2016105,2021-08-30 12:09:27,23,ru,asr,20,Gaming,True
BradMartin_,UCAC51Lw_eHFBfZwhk2Q4C3A,POV You & Your Soulmate Control Each Other! Part 5,POV You & Your Soulmate Control Each Other! Part 5,KRxOd6IYliU,0,24,649979,2021-08-30 12:09:27,24,en,asr,24,Entertainment,True
