channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
SSundee,UCke6I9N4KfC968-yRcd5YRg,SKINNY IMPOSTER Mod in Among Us,SKINNY IMPOSTER Mod in Among Us,8Pga3brliIw,0,20,4452051,2021-08-06 12:04:39,1,en,asr,20,Gaming,True
First We Feast,UCPD_bxCRGpmmeQcbe2kpPaA,Matt Damon Sweats From His Scalp While Eating Spicy Wings | Hot Ones,Matt Damon Sweats From His Scalp While Eating Spicy Wings | Hot Ones,yaXma6K9mzo,0,24,1435398,2021-08-06 12:04:39,2,,,24,Entertainment,True
Bancily,UCVMc-W1-nhYb_1AR-Ll7zIw,30 Secret Fortnite Easter Eggs YOU MISSED,30 Secret Fortnite Easter Eggs YOU MISSED,2SHveA_kok8,0,20,549390,2021-08-06 12:04:39,3,en,asr,20,Gaming,True
Hotboxin' with Mike Tyson,UCZT_hV6nx0-N4ka5bWgh-qg,"Khabib Nurmagomedov, Former UFC Champion | Hotboxin’ with Mike Tyson presented by Smart Cups","Khabib Nurmagomedov, Former UFC Champion | Hotboxin’ with Mike Tyson presented by Smart Cups",2OttUaOEbTE,0,24,1488101,2021-08-06 12:04:39,4,,,24,Entertainment,True
WIRED,UCftwRNsjfRo08xYE31tkiyw,BTS Answer the Web's Most Searched Questions | WIRED,BTS Answer the Web's Most Searched Questions | WIRED,qsobCAGiuRU,0,24,4370346,2021-08-06 12:04:39,5,en,asr,24,Entertainment,True
WIRED,UCftwRNsjfRo08xYE31tkiyw,BTS Answer the Web's Most Searched Questions | WIRED,BTS Answer the Web's Most Searched Questions | WIRED,qsobCAGiuRU,0,24,4370346,2021-08-06 12:04:39,5,en-US,standard,24,Entertainment,True
Sky Sports Football,UCNAf1k0yIjyGu3k9BwAg3lg,BREAKING! Lionel Messi LEAVES Barcelona | The Transfer Show,BREAKING! Lionel Messi LEAVES Barcelona | The Transfer Show,PZArkvesB3U,0,17,925721,2021-08-06 12:04:39,6,en,asr,17,Sports,True
xmarieangel,UCWUXLtP5c0-S8ju9MAdoX7g,I'm cheating,I'm cheating,WI8PwV6xnPY,0,20,284773,2021-08-06 12:04:39,7,en,asr,20,Gaming,True
Breakfast Club Power 105.1 FM,UChi08h4577eFsNXGd3sxYhw,The Breakfast Club Reacts to Dipset and The LOX’s ‘Verzuz’ Battle,The Breakfast Club Reacts to Dipset and The LOX’s ‘Verzuz’ Battle,2yggRgFm_iY,0,24,813500,2021-08-06 12:04:39,8,en,asr,24,Entertainment,True
SSSniperWolf,UCpB959t8iPrxQWj7G6n0ctQ,Genius Inventions And Gadgets You've NEVER Seen Before,Genius Inventions And Gadgets You've NEVER Seen Before,G3ngS3u_WbI,0,24,3439637,2021-08-06 12:04:39,9,en,asr,24,Entertainment,True
